,ci,val_loss,val_acc
0,-0.2,1.3324647887547811,0.2891666666666667
1,-0.16,1.3375835291544595,0.29541666626930235
2,-0.12,1.256633178393046,0.34791666666666665
3,-0.08,1.284805178642273,0.3212500003973643
4,-0.04,1.253937071164449,0.3491666662693024
5,0.0,0.5949726986885071,0.7979166674613952
6,0.04,0.7403549106915792,0.667083334128062
7,0.08,1.2098102172215779,0.40208333293596904
8,0.12,1.1708514833450316,0.44416666626930235
9,0.16,1.1085305722554524,0.48833333333333334
10,0.2,1.0577954785029093,0.5720833325386048
11,0.24,0.4982688013712565,0.8333333341280619
12,0.28,0.544450486501058,0.8166666674613953
13,0.32,0.20850188652674356,0.9275000007947286
14,0.36,0.49963146209716797,0.8241666674613952
15,0.4,0.5976597126324972,0.7787500007947286
16,0.44,0.6723438302675883,0.7491666674613953
17,0.48,0.34129804929097496,0.890833334128062
